LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	MSE_SETUP8
Date	2025/03/31
Time	12:21:00.7667140960693359375
***End_of_Header***	
	
Channels	25																									
Samples	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	
Date	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	
Time	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	
***End_of_Header***																										
X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Magnitude 3	FRF Phase 1	FRF Phase 2	FRF Phase 3	Coherence 1	Coherence 2	Coherence 3	Response Function FFT (Mag) 1	Response Function FFT (Mag) 2	Response Function FFT (Mag) 3	Response Function FFT (Phase) 1	Response Function FFT (Phase) 2	Response Function FFT (Phase) 3	Transmissibility Magnitude 1	Transmissibility Magnitude 2	Transmissibility Phase 1	Transmissibility Phase 2	Bode Amplitude Ratio 1	Bode Amplitude Ratio 2	Bode Amplitude Ratio 3	Bode Phase 1	Bode Phase 2	Bode Phase 3	Comment
0.000000	7.899205E+15	1.234886E+15	0.000000	-0.000000	3.141593	0.000000	1.000000	1.000000	NaN	0.023730	0.003710	0.000000	3.141593	0.000000	0.000000	0.040429	0.000000	3.141593	0.000000	317.951668	301.832537	-Inf	-0.000000	180.000000	0.000000
0.033333	12438.023563	11725.237938	0.000000	1.795435	0.931595	0.000000	1.000000	1.000000	NaN	0.004886	0.004606	0.000000	0.224743	-0.639097	0.000000	0.186227	0.000000	-1.445503	0.000000	81.895028	81.382433	-Inf	102.870841	53.376455	0.000000
0.066667	7339.553551	2367.034571	0.000000	1.867551	2.452267	0.000000	1.000000	1.000000	NaN	0.005768	0.001860	0.000000	0.296964	0.881680	0.000000	2.163518	0.000000	0.982264	0.000000	77.313393	67.484092	-Inf	107.002762	140.504529	0.000000
0.100000	2791.525308	2706.075818	0.000000	1.410176	0.032341	0.000000	1.000000	1.000000	NaN	0.003292	0.003191	0.000000	-0.160306	-1.538141	0.000000	1.986944	0.000000	0.286350	0.000000	68.916831	68.646799	-Inf	80.797151	1.853014	0.000000
0.133333	2153.723284	2127.000761	0.000000	1.391547	0.760081	0.000000	1.000000	1.000000	NaN	0.003388	0.003346	0.000000	-0.178830	-0.810296	0.000000	2.779025	0.000000	0.602888	0.000000	66.663798	66.555353	-Inf	79.729791	43.549455	0.000000
0.166667	1207.989413	1511.383869	0.000000	2.299361	-1.888970	0.000000	1.000000	1.000000	NaN	0.002377	0.002974	0.000000	0.729088	2.823942	0.000000	1.792817	-0.000000	-0.019774	-0.000000	61.641263	63.587496	-Inf	131.743653	-108.230035	0.000000
0.200000	1806.075448	1487.647252	0.000000	1.467158	-0.252236	0.000000	1.000000	1.000000	NaN	0.004267	0.003515	-0.000000	-0.103010	-1.822404	-0.000000	3.146737	0.000000	-0.876685	0.000000	65.134718	63.449999	-Inf	84.061934	-14.452061	0.000000
0.233333	1907.306744	934.391985	0.000000	1.453374	1.409492	0.000000	1.000000	1.000000	NaN	0.005262	0.002578	-0.000000	-0.116690	-0.160572	-0.000000	3.128607	0.000000	0.273188	0.000000	65.608411	59.410582	-Inf	83.272182	80.757919	0.000000
0.266667	986.495520	1334.593265	0.000000	1.500709	-1.982329	0.000000	1.000000	1.000000	NaN	0.003114	0.004213	-0.000000	-0.069249	2.730898	-0.000000	3.813729	0.000000	-0.173648	0.000000	59.881902	62.506979	-Inf	85.984305	-113.579096	0.000000
0.300000	1052.167172	742.485734	0.000000	1.301965	-0.471158	0.000000	1.000000	1.000000	NaN	0.003741	0.002640	-0.000000	-0.267889	-2.041012	-0.000000	5.005186	0.000000	0.089923	0.000000	60.441695	57.413762	-Inf	74.597119	-26.995392	0.000000
