LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	MSE_SETUP8
Date	2025/03/31
Time	12:21:00.7667140960693359375
***End_of_Header***	
	
Channels	25																									
Samples	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	15000	
Date	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	1903/12/31	
Time	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	19:00:00	
X_Dimension	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	
X0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	0.0000000000000000E+0	
Delta_X	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	0.033333	
***End_of_Header***																										
X_Value	FRF Magnitude 1	FRF Magnitude 2	FRF Magnitude 3	FRF Phase 1	FRF Phase 2	FRF Phase 3	Coherence 1	Coherence 2	Coherence 3	Response Function FFT (Mag) 1	Response Function FFT (Mag) 2	Response Function FFT (Mag) 3	Response Function FFT (Phase) 1	Response Function FFT (Phase) 2	Response Function FFT (Phase) 3	Transmissibility Magnitude 1	Transmissibility Magnitude 2	Transmissibility Phase 1	Transmissibility Phase 2	Bode Amplitude Ratio 1	Bode Amplitude Ratio 2	Bode Amplitude Ratio 3	Bode Phase 1	Bode Phase 2	Bode Phase 3	Comment
0.000000	3.920222	0.445217	0.490187	3.141593	-0.000000	3.141593	1.000000	1.000000	1.000000	0.022483	0.002553	0.002811	3.141593	0.000000	3.141593	0.079621	0.078280	-0.000000	-0.000000	11.866214	-7.028568	-6.192773	180.000000	-0.000000	180.000000
0.033333	2.620378	0.976027	0.027551	-0.050049	-0.147249	-0.668779	1.000000	1.000000	1.000000	0.021260	0.007919	0.000224	-0.049944	-0.147144	-0.668675	0.134928	0.073029	0.051928	-0.121898	8.367280	-0.210764	-31.197127	-2.867583	-8.436744	-38.318230
0.066667	2.419041	0.707222	0.036990	-0.462110	-0.680464	-1.011688	1.000000	1.000000	1.000000	0.019645	0.005743	0.000300	-0.461901	-0.680255	-1.011479	0.504788	0.022681	-0.607048	0.494092	7.672864	-3.008880	-28.638208	-26.476962	-38.987726	-57.965461
0.100000	1.917811	0.648739	0.014275	-0.264223	-0.240288	-1.286400	1.000000	1.000000	1.000000	0.015600	0.005277	0.000116	-0.263909	-0.239974	-1.286086	1.062378	0.062915	-0.857162	0.562556	5.656117	-3.758604	-36.908191	-15.138879	-13.767508	-73.705304
0.133333	1.628992	0.452413	0.017972	-0.218125	-0.469651	-1.252771	1.000000	1.000000	1.000000	0.013281	0.003688	0.000147	-0.217706	-0.469232	-1.252352	1.495939	0.054642	0.106812	1.198320	4.238376	-6.889293	-34.908227	-12.497653	-26.909000	-71.778488
0.166667	1.532013	0.460991	0.009952	-0.063587	-0.137777	-0.958758	1.000000	1.000000	1.000000	0.012527	0.003770	8.137820E-5	-0.063063	-0.137254	-0.958235	0.534347	0.021510	-0.398462	-0.775004	3.705251	-6.726145	-40.041673	-3.643251	-7.894050	-54.932793
0.200000	2.208948	0.812667	0.020461	-0.207137	-0.469248	-1.205841	1.000000	1.000000	1.000000	0.018128	0.006669	0.000168	-0.206509	-0.468620	-1.205212	0.502408	0.023874	-0.677904	-0.596132	6.883709	-1.801743	-33.781450	-11.868068	-26.885955	-69.089587
0.233333	2.264176	0.969408	0.014284	-0.159879	-0.336100	-1.290579	1.000000	1.000000	1.000000	0.018661	0.007990	0.000118	-0.159146	-0.335367	-1.289846	0.746478	0.013014	-0.257258	-0.245966	7.098203	-0.269865	-36.902823	-9.160374	-19.257098	-73.944712
0.266667	2.443561	1.204069	0.018480	-0.453889	-0.762562	-1.751180	1.000000	1.000000	1.000000	0.020239	0.009973	0.000153	-0.453051	-0.761725	-1.750342	0.673861	0.019225	-0.100100	-0.694925	7.760464	1.613029	-34.666007	-26.005914	-43.691609	-100.335197
0.300000	2.215849	1.095362	0.008682	-0.435147	-0.772753	-1.841686	1.000000	1.000000	1.000000	0.018457	0.009124	7.231839E-5	-0.434205	-0.771811	-1.840743	0.707156	0.059723	-0.236674	-1.544820	6.910803	0.791153	-41.227529	-24.932099	-44.275498	-105.520813
0.333333	2.122593	1.074869	0.007397	-0.382747	-0.732259	-1.681690	1.000000	1.000000	1.000000	0.017793	0.009010	6.200715E-5	-0.381700	-0.731212	-1.680643	0.511787	0.021890	0.432686	-0.333639	6.537335	0.627115	-42.618864	-21.929775	-41.955368	-96.353756
0.366667	2.261142	1.141663	0.010498	-0.329339	-0.620354	-1.129337	1.000000	1.000000	1.000000	0.019089	0.009638	8.862527E-5	-0.328187	-0.619202	-1.128185	0.935759	0.020493	0.405703	-0.029125	7.086557	1.150760	-39.577965	-18.869756	-35.543643	-64.706253
0.400000	2.038977	1.097916	0.012829	-0.370801	-0.840428	-1.464855	1.000000	1.000000	1.000000	0.017348	0.009341	0.000109	-0.369545	-0.839171	-1.463598	1.314201	0.015984	0.665609	1.100695	6.188247	0.811382	-37.836357	-21.245349	-48.152952	-83.930015
0.433333	1.972045	0.986362	0.012663	-0.341652	-0.823024	-1.691499	1.000000	1.000000	1.000000	0.016923	0.008464	0.000109	-0.340291	-0.821663	-1.690138	0.681397	0.001362	-0.334589	2.086092	5.898336	-0.119274	-37.949069	-19.575240	-47.155829	-96.915751
0.466667	2.440000	1.247010	0.012416	-0.362831	-0.824776	-1.927192	1.000000	1.000000	1.000000	0.021135	0.010801	0.000108	-0.361365	-0.823310	-1.925725	0.428520	0.005697	-0.282811	-2.057009	7.747795	1.917396	-38.120612	-20.788692	-47.256165	-110.419940
0.500000	2.192179	1.225191	0.008506	-0.491330	-0.954180	-2.183417	1.000000	1.000000	1.000000	0.019181	0.010720	7.442663E-5	-0.489759	-0.952609	-2.181846	0.685725	0.014088	-0.284595	-0.478554	6.817520	1.764075	-41.405276	-28.151113	-54.670480	-125.100554
0.533333	2.491132	1.556373	0.008325	-0.612729	-1.014027	-1.734179	1.000000	1.000000	1.000000	0.022036	0.013767	7.364206E-5	-0.611054	-1.012352	-1.732504	0.797233	0.003758	0.050260	0.159577	7.927936	3.842276	-41.592137	-35.106811	-58.099482	-99.361140
0.566667	2.181803	1.338582	0.007440	-0.596138	-1.069007	-1.501862	1.000000	1.000000	1.000000	0.019528	0.011981	6.658923E-5	-0.594358	-1.067227	-1.500082	0.928263	0.015107	-0.166762	-1.363659	6.776311	2.532898	-42.568656	-34.156219	-61.249603	-86.050380
0.600000	2.353015	1.522328	0.013822	-0.537299	-0.980203	-1.497984	1.000000	1.000000	1.000000	0.021328	0.013798	0.000125	-0.535414	-0.978318	-1.496099	0.725578	0.016506	-0.273294	-0.892778	7.432495	3.650167	-37.188584	-30.784944	-56.161498	-85.828154
0.633333	1.987483	1.335980	0.011574	-0.526012	-0.997474	-1.694460	1.000000	1.000000	1.000000	0.018260	0.012274	0.000106	-0.524023	-0.995484	-1.692471	0.566794	0.008301	-0.203458	-1.406398	5.966070	2.516001	-38.730647	-30.138288	-57.151022	-97.085432
0.666667	2.669542	1.715152	0.018593	-0.479222	-0.889897	-1.903231	1.000000	1.000000	1.000000	0.024883	0.015987	0.000173	-0.477127	-0.887803	-1.901136	0.528192	0.013444	-0.074914	-1.819765	8.528735	4.686052	-34.613155	-27.457392	-50.987361	-109.047085
0.700000	2.373041	1.662157	0.012304	-0.553636	-0.987241	-1.955207	1.000000	1.000000	1.000000	0.022463	0.015733	0.000116	-0.551437	-0.985041	-1.953008	0.519532	0.025407	-0.059033	-2.321275	7.506106	4.413439	-38.199247	-31.721011	-56.564716	-112.025123
0.733333	2.554625	1.809612	0.018444	-0.563844	-0.983291	-2.389683	1.000000	1.000000	1.000000	0.024582	0.017413	0.000177	-0.561540	-0.980987	-2.387379	0.782451	0.036778	0.273688	-1.937800	8.146545	5.151707	-34.682942	-32.305869	-56.338414	-136.918748
0.766667	2.314079	1.660639	0.010715	-0.533906	-1.070585	-2.382065	1.000000	1.000000	1.000000	0.022660	0.016261	0.000105	-0.531497	-1.068176	-2.379657	0.712083	0.023047	0.438516	-2.099846	7.287564	4.405506	-39.400113	-30.590551	-61.339998	-136.482288
0.800000	2.563060	1.823212	0.014572	-0.577301	-1.039139	-2.863772	1.000000	1.000000	1.000000	0.025569	0.018188	0.000145	-0.574788	-1.036626	-2.861258	0.809283	0.041185	0.321583	-2.968939	8.175176	5.216741	-36.729410	-33.076900	-59.538301	-164.082030
0.833333	2.452528	1.828073	0.006471	-0.647533	-1.146263	-2.546824	1.000000	1.000000	1.000000	0.024955	0.018601	6.583952E-5	-0.644915	-1.143645	-2.544206	0.828009	0.021869	-0.030553	2.980993	7.792280	5.239872	-43.780970	-37.100931	-65.676051	-145.922271
0.866667	2.771918	2.039575	0.008621	-0.593228	-1.043963	-2.964729	1.000000	1.000000	1.000000	0.028803	0.021193	8.958293E-5	-0.590505	-1.041241	-2.962007	0.743948	0.021531	0.180663	2.503931	8.855609	6.190792	-41.288504	-33.989448	-59.814700	-169.866486
0.900000	2.676969	2.145435	0.006036	-0.659121	-1.128720	-1.978421	1.000000	1.000000	1.000000	0.028443	0.022795	6.413539E-5	-0.656293	-1.125892	-1.975594	0.829824	0.021846	0.388870	2.217923	8.552867	6.630306	-44.384653	-37.764834	-64.670877	-113.355190
0.933333	2.925892	2.217725	0.004762	-0.596039	-1.020821	-2.706558	1.000000	1.000000	1.000000	0.031832	0.024128	5.181126E-5	-0.593107	-1.017889	-2.703626	0.956119	0.019504	0.261982	1.335185	9.325166	6.918154	-46.443698	-34.150543	-58.488757	-155.074344
0.966667	2.951932	2.408039	0.008695	-0.691056	-1.121224	-1.994530	1.000000	1.000000	1.000000	0.032933	0.026865	9.700948E-5	-0.688019	-1.118187	-1.991493	1.108433	0.032523	0.541567	1.118245	9.402126	7.633270	-41.214209	-39.594575	-64.241390	-114.278171
1.000000	3.114320	2.348736	0.004027	-0.659784	-1.064318	-2.866959	1.000000	1.000000	1.000000	0.035685	0.026912	4.613872E-5	-0.656643	-1.061177	-2.863818	0.947010	0.032099	0.727432	1.401230	9.867265	7.416683	-47.901085	-37.802866	-60.980949	-164.264658
